CEREAL,ADVERTISED AS EXTRA HEALTHY,ADULTS/KIDS,COMMENTS,ESTIMATED,Cal/g,BOWL SIZE,Cereal in g,Skim Milk in g,Calories Cereal,Total calories,Cereal in g,Total Calories ,
All Bran,1,A,Sticks,0,2.58,0,40,145,103,154,31,120,
Apple Jacks,0,C,Rings,1,3.93,1,83,708,326,574,28,150,
Basic 4,1,A,Flakes,1,3.64,1,58,502,211,387,55,240,
Berry Kix,0,A,Balls,1,3.64,1,64,369,233,362,33,160,
Cap’n Crunch,0,C,CC,0,4.07,1,58,433,236,388,27,150,
Cap'n Crunch Berries,0,C,Balls,1,4.23,1,64,369,271,400,26,150,
Cap'n Crunch Peanut Butter,0,C,Balls,1,4.07,1,64,369,260,390,27,150,
Cap'n Crunch Sprinkled Donut Crunch,0,C,Rings,1,3.93,0,25,157,98,153,28,150,
Cascadian Farm Cinnamon,1,A,Squares,1,4.07,0,46,171,187,247,27,150,
Cascadian Farm Graham Crunch,1,A,Squares,1,3.93,0,46,171,181,241,28,150,
Chocolate Lucky Charms,0,C,Thingys,1,3.92,1,60,390,235,372,28,150,
Chocolate Toast Crunch,0,C,Squares,1,4.2,0,46,171,193,253,31,170,
Cinnabon,0,A,Rings,1,4.00,0,25,157,100,155,30,160,
Cinnamon Jacks,0,C,Rings,1,3.93,1,83,708,326,574,28,150,
Cinnamon Toast Crunch,0,C,Squares,1,4.2,0,46,171,193,253,31,170,
Cocoa Crispies,0,C,Crispies,1,3.87,1,65,327,252,366,31,160,
Cookie Crisps,0,C,Balls,1,3.85,0,30,136,116,163,26,140,
Corn Flakes,0,A,Flakes,1,3.76,1,58,502,218,394,,40,
Corn Pops,0,A,Balls,1,4,1,64,369,256,385,30,160,
Cracklin Oat Bran,0,A,Sticks,1,4.08,0,46,145,188,238,49,240,
Fiber One Chocolate,1,A,Squares,1,2.66,0,46,171,122,182,30,120,
Fiber One Honey Clusters,1,A,Flakes,1,3.27,0,25,157,82,137,52,210,
Fiber One Nutty Clusters,1,A,Flakes,1,3.45,0,25,157,86,141,55,230,
Fiber One Original,1,A,Sticks,1,2.00,0,46,145,92,143,30,100,
Fiber One Raisin Bran Clusters,1,A,Flakes,1,3.09,0,25,157,77,132,55,210,
Froot Loops,0,C,Rings,1,3.8,1,83,708,315,563,29,150,
Froot Loops Marshmallow,0,C,Rings,1,3.79,1,83,708,315,562,29,150,
Froot Loops Treasures,0,C,Rings,1,3.67,1,83,708,305,552,30,150,
Frosted Flakes,0,C,Flakes,1,3.87,1,58,502,224,400,29,152,
Frosted Rice Krispies,0,C,Crispies,1,4.00,1,65,327,260,374,30,160,
Frosties Choco Zucaritas,0,C,Flakes,1,4.00,1,58,502,232,408,30,160,
Great Value Apple Blast,0,A,Rings,1,8,1,83,708,664,912,15,160,
Great Value Berry Crunch,0,A,Balls,1,4.23,1,83,708,351,599,26,150,
Great Value Cinnamon Crunch,0,A,Squares,1,4.33,0,46,171,199,259,30,170,
Great Value Cocoa Cool,0,A,Balls,1,3.93,2,83,708,326,574,28,150,
Great Value Corn Flakes,0,A,Flakes,1,3.66,2,83,708,304,552,30,150,
Great Value Crisp Rice,0,A,Crispies,1,3.94,2,83,708,327,575,33,170,
Great Value Crunchy Honey Oats,0,A,Flakes,1,4.19,2,83,708,348,596,31,170,
Great Value Crunchy Raisin Bran,0,A,Flakes,1,3.58,1,58,502,208,383,53,230,
Great Value Frosted Shredded Wheat,0,A,Mini Wheats,1,3.67,1,122,364,448,575,49,220,
Great Value Fruit Spins,0,A,Cheerios,1,3.79,2,83,708,315,562,29,150,
Great Value Fruity Puffs,0,A,Balls,1,4,2,83,708,332,580,30,160,
Great Value Honey Crunch,0,A,Puffs,1,4.07,0,24,101,98,133,27,150,
Great Value Honey Nut Spins,0,A,Thingys,1,4,2,83,708,332,580,30,160,
Great Value Multigrain Flakes,0,A,Flakes,1,4,2,83,708,332,580,30,160,
Great Value Raisin Bran,0,A,Flakes,1,3.75,1,58,502,218,393,56,250,
Great Value Raisin Bran Extra Raisin,0,A,Flakes,1,3.57,1,58,502,207,383,56,240,
Great Value Shredded Wheat,0,A,Mini Wheats,1,3.46,1,122,364,422,550,52,220,
Great Value Strawberry Awake,0,A,Flakes,1,3.55,1,58,502,206,382,31,150,
Great Value Sugar Frosted Flakes,0,A,Flakes,1,3.87,1,58,502,224,400,31,160,
Great Value Toasted Corn,0,A,Crispies,1,3.66,2,83,708,304,552,30,150,
Great Value Toasted Rice,0,A,Crispies,1,3.70,2,83,708,307,555,27,140,
